clear_T,clear
287.91,297.79
288.06,271.96
283.4,244.02
287.0,282.79
278.66,247.58
279.6,238.27
290.26,304.37
278.13,246.16
293.23,298.24
277.44,236.72
282.63,251.0
286.66,279.06
283.7,246.76
288.55,284.21
279.89,231.9
283.11,255.45
286.39,279.2
284.77,274.69
279.87,231.9
280.26,228.95
279.94,244.84
284.79,260.29
283.42,267.66
287.91,310.27
289.72,298.15
284.51,237.26
282.92,258.49
292.8,295.47
296.34,341.85
279.8,257.51
296.91,345.21
294.88,320.94
286.75,278.97
281.39,251.03
296.94,344.08
281.69,242.27
284.76,257.72
285.75,266.7
293.82,334.65
289.49,299.99
289.94,290.24
290.2,296.48
294.28,317.59
284.95,265.24
291.5,320.74
295.8,325.6
283.81,255.46
285.28,270.82
287.02,290.96
286.52,244.9
287.46,269.77
288.71,295.39
286.25,259.27
286.47,268.37
285.88,281.87
280.9,236.24
283.55,227.66
281.52,253.96
283.08,255.63
289.8,308.39
286.3,277.72
287.11,259.18
291.97,316.11
291.01,292.81
281.72,254.75
290.59,295.04
281.14,257.16
289.28,283.33
290.23,314.62
291.55,301.37
282.52,251.09
287.2,289.17
286.82,271.24
287.21,265.16
289.81,276.58
290.18,282.15
284.69,272.39
298.04,348.59
285.27,241.05
290.35,296.51
281.67,255.04
282.77,242.73
290.44,296.37
281.56,234.33
288.52,296.81
280.14,232.3
280.47,245.41
288.42,301.06
285.02,249.61
298.94,363.65
282.93,262.17
290.14,294.19
284.87,266.74
286.81,281.45
288.33,293.93
283.73,249.49
292.72,303.1
288.25,288.88
288.25,297.57
283.22,258.92
291.34,312.19
288.2,297.57
288.41,280.36
286.74,281.88
286.51,259.08
284.08,250.22
289.37,283.23
288.09,302.16
286.55,277.71
286.57,270.97
292.94,330.59
285.35,254.02
284.17,259.43
287.14,244.18
281.31,248.99
282.48,255.65
287.11,291.74
287.88,272.91
287.63,284.21
278.29,234.46
291.45,312.19
287.64,277.38
296.47,333.42
291.11,299.15
283.66,249.61
286.98,279.06
286.7,266.78
296.95,335.91
286.37,270.33
294.9,343.59
284.47,249.13
282.86,239.3
287.95,280.82
291.03,280.94
280.67,241.6
289.69,298.15
282.57,253.48
284.14,260.93
292.7,306.25
290.75,284.79
286.86,278.97
290.8,305.95
286.04,234.96
288.24,279.67
292.94,315.57
295.44,326.03
298.88,364.12
277.09,234.33
285.44,260.4
285.73,260.96
290.4,293.92
295.89,324.59
294.76,339.16
290.0,304.18
293.67,312.63
285.74,335.47
283.4,252.88
290.47,300.14
280.5,250.74
297.88,360.42
293.56,317.59
284.53,264.44
286.43,266.84
290.39,290.13
279.88,233.54
278.59,235.78
285.51,257.08
289.74,298.15
284.92,269.58
286.09,255.94
295.82,320.98
292.31,304.62
296.94,355.63
292.01,316.66
290.76,298.12
286.79,281.88
289.21,299.66
283.94,250.93
283.9,251.27
290.28,304.28
290.86,301.65
284.65,267.27
289.44,306.53
296.64,326.92
289.58,294.94
283.62,229.87
286.3,270.33
285.51,277.7
290.18,306.34
287.13,289.24
286.77,270.67
281.36,254.11
297.18,335.11
285.79,282.05
284.12,267.84
285.09,273.62
277.46,238.67
278.56,239.37
296.75,342.0
285.26,272.93
287.47,283.8
286.23,279.42
294.46,315.68
289.38,287.13
278.89,228.95
283.42,248.21
279.73,233.36
290.45,304.81
284.97,275.87
287.27,280.75
282.88,250.62
281.03,254.32
280.75,236.65
294.9,317.64
288.79,282.75
290.6,308.41
288.98,268.52
293.25,322.63
292.42,293.84
288.4,291.54
283.83,267.13
285.13,260.66
285.92,281.87
290.96,309.87
297.76,353.68
293.58,326.71
280.04,250.8
286.36,285.23
285.59,256.22
291.89,305.46
286.64,289.43
295.58,348.14
285.56,274.2
295.26,337.15
286.54,264.32
286.5,284.91
285.87,276.37
280.38,250.86
288.22,297.57
290.72,308.89
296.7,333.52
287.79,262.56
297.28,339.27
